Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s) II(1/s)
0.121 1.24837e+13 4.25471e+12 4.71439e+12 1.29216e+12 1.67583e+12 5.46639e+11 0
0.122 1.26013e+13 4.29136e+12 4.76961e+12 1.29998e+12 1.69063e+12 5.49722e+11 0
0.123 1.27225e+13 4.32898e+12 4.82629e+12 1.30812e+12 1.7061e+12 5.52983e+11 0
0.124 1.28396e+13 4.37449e+12 4.87112e+12 1.31614e+12 1.72151e+12 5.56313e+11 0
0.125 1.29636e+13 4.43079e+12 4.91347e+12 1.32367e+12 1.73599e+12 5.59653e+11 0
0.126 1.31019e+13 4.49803e+12 4.96077e+12 1.33124e+12 1.74891e+12 5.62954e+11 0
0.127 1.32506e+13 4.57637e+12 5.00696e+12 1.33877e+12 1.76238e+12 5.66127e+11 0
0.128 1.33946e+13 4.65121e+12 5.05113e+12 1.346e+12 1.77721e+12 5.69091e+11 0
0.129 1.35209e+13 4.71104e+12 5.0926e+12 1.35304e+12 1.79297e+12 5.71203e+11 0
0.13 1.36444e+13 4.76621e+12 5.13688e+12 1.36022e+12 1.80807e+12 5.72995e+11 0
0.131 1.37794e+13 4.82665e+12 5.18638e+12 1.3676e+12 1.82302e+12 5.75783e+11 0
0.132 1.39014e+13 4.86958e+12 5.24005e+12 1.3751e+12 1.83798e+12 5.78678e+11 0
0.133 1.40172e+13 4.91131e+12 5.28911e+12 1.38278e+12 1.85258e+12 5.81452e+11 0
0.134 1.41369e+13 4.95676e+12 5.33847e+12 1.39052e+12 1.86694e+12 5.84234e+11 0
0.135 1.42618e+13 5.00665e+12 5.38869e+12 1.39799e+12 1.88129e+12 5.87142e+11 0
0.136 1.43857e+13 5.05838e+12 5.43758e+12 1.40396e+12 1.89559e+12 5.90174e+11 0
0.137 1.4498e+13 5.09954e+12 5.48636e+12 1.41006e+12 1.90871e+12 5.93347e+11 0
0.138 1.46163e+13 5.14578e+12 5.53653e+12 1.41628e+12 1.92124e+12 5.96458e+11 0
0.139 1.4739e+13 5.19433e+12 5.58783e+12 1.42263e+12 1.93487e+12 5.99308e+11 0
0.14 1.48492e+13 5.23632e+12 5.63289e+12 1.42909e+12 1.94876e+12 6.02128e+11 0
0.141 1.49575e+13 5.28247e+12 5.67076e+12 1.43585e+12 1.96352e+12 6.04903e+11 0
0.142 1.5075e+13 5.33234e+12 5.71391e+12 1.44266e+12 1.97847e+12 6.07594e+11 0
0.143 1.5192e+13 5.38042e+12 5.7597e+12 1.44894e+12 1.99275e+12 6.10249e+11 0
0.144 1.53056e+13 5.42391e+12 5.80686e+12 1.45503e+12 2.00684e+12 6.12985e+11 0
0.145 1.54177e+13 5.46558e+12 5.854e+12 1.46094e+12 2.02135e+12 6.15786e+11 0
0.146 1.55271e+13 5.50465e+12 5.90025e+12 1.46687e+12 2.03672e+12 6.18586e+11 0
0.147 1.5631e+13 5.53873e+12 5.94596e+12 1.47234e+12 2.05254e+12 6.21421e+11 0
0.148 1.57272e+13 5.56664e+12 5.99023e+12 1.47773e+12 2.06832e+12 6.24254e+11 0
0.149 1.58361e+13 5.60907e+12 6.03327e+12 1.48244e+12 2.08413e+12 6.272e+11 0
0.15 1.59457e+13 5.65264e+12 6.07532e+12 1.48693e+12 2.10088e+12 6.29929e+11 0
0.151 1.60554e+13 5.6986e+12 6.11617e+12 1.49172e+12 2.1165e+12 6.32401e+11 0
0.152 1.61635e+13 5.7452e+12 6.15475e+12 1.49737e+12 2.13138e+12 6.34779e+11 0
0.153 1.62753e+13 5.78989e+12 6.19759e+12 1.50329e+12 2.1474e+12 6.37154e+11 0
0.154 1.63847e+13 5.8308e+12 6.24094e+12 1.50938e+12 2.16404e+12 6.39568e+11 0
