Energy(eV) Total(1/s) Acoustic(1/s) IV_g_ems(1/s) IV_g_abs(1/s) IV_f_ems(1/s) IV_f_abs(1/s)
0.17 1.01625e+13 0 3.15135e+12 9.27789e+11 4.9193e+12 1.16405e+12
0.171 1.02124e+13 0 3.16807e+12 9.3108e+11 4.94527e+12 1.16798e+12
0.172 1.02623e+13 0 3.18477e+12 9.3437e+11 4.9712e+12 1.17192e+12
0.173 1.0312e+13 0 3.20144e+12 9.37659e+11 4.99709e+12 1.17586e+12
0.174 1.03618e+13 0 3.21809e+12 9.40948e+11 5.02295e+12 1.17979e+12
0.175 1.04115e+13 0 3.23472e+12 9.44237e+11 5.04877e+12 1.18373e+12
0.176 1.04611e+13 0 3.25132e+12 9.47525e+11 5.07456e+12 1.18766e+12
0.177 1.05106e+13 0 3.2679e+12 9.50813e+11 5.10032e+12 1.1916e+12
0.178 1.05601e+13 0 3.28446e+12 9.541e+11 5.12605e+12 1.19553e+12
0.179 1.06096e+13 0 3.301e+12 9.57387e+11 5.15174e+12 1.19947e+12
0.18 1.0659e+13 0 3.31751e+12 9.60673e+11 5.1774e+12 1.2034e+12
0.181 1.07083e+13 0 3.33401e+12 9.63959e+11 5.20304e+12 1.20734e+12
0.182 1.07576e+13 0 3.35049e+12 9.67245e+11 5.22864e+12 1.21127e+12
0.183 1.08069e+13 0 3.36694e+12 9.70531e+11 5.25422e+12 1.21521e+12
0.184 1.08561e+13 0 3.38338e+12 9.73816e+11 5.27976e+12 1.21914e+12
0.185 1.09053e+13 0 3.3998e+12 9.77101e+11 5.30528e+12 1.22308e+12
0.186 1.09544e+13 0 3.4162e+12 9.80386e+11 5.33078e+12 1.22701e+12
0.187 1.10034e+13 0 3.43258e+12 9.8367e+11 5.35624e+12 1.23095e+12
0.188 1.10525e+13 0 3.44895e+12 9.86955e+11 5.38168e+12 1.23488e+12
0.189 1.11014e+13 0 3.46529e+12 9.90239e+11 5.4071e+12 1.23882e+12
0.19 1.11504e+13 0 3.48162e+12 9.93523e+11 5.43249e+12 1.24275e+12
0.191 1.11993e+13 0 3.49794e+12 9.96807e+11 5.45785e+12 1.24669e+12
0.192 1.12481e+13 0 3.51424e+12 1.00009e+12 5.48319e+12 1.25062e+12
0.193 1.1297e+13 0 3.53052e+12 1.00337e+12 5.50851e+12 1.25456e+12
0.194 1.13458e+13 0 3.54679e+12 1.00666e+12 5.53381e+12 1.2585e+12
0.195 1.13945e+13 0 3.56304e+12 1.00994e+12 5.55908e+12 1.26243e+12
0.196 1.14432e+13 0 3.57928e+12 1.01323e+12 5.58433e+12 1.26637e+12
0.197 1.14919e+13 0 3.5955e+12 1.01651e+12 5.60957e+12 1.27031e+12
0.198 1.15405e+13 0 3.61171e+12 1.01979e+12 5.63478e+12 1.27425e+12
0.199 1.15891e+13 0 3.6279e+12 1.02308e+12 5.65997e+12 1.27818e+12
0.2 1.16377e+13 0 3.64409e+12 1.02636e+12 5.68514e+12 1.28212e+12
0.201 1.16862e+13 0 3.66026e+12 1.02964e+12 5.71029e+12 1.28606e+12
0.202 1.17348e+13 0 3.67641e+12 1.03293e+12 5.73542e+12 1.29e+12
0.203 1.17832e+13 0 3.69255e+12 1.03621e+12 5.76053e+12 1.29394e+12
0.204 1.18317e+13 0 3.70869e+12 1.0395e+12 5.78563e+12 1.29788e+12
0.205 1.18801e+13 0 3.7248e+12 1.04278e+12 5.81071e+12 1.30182e+12
0.206 1.19285e+13 0 3.74091e+12 1.04607e+12 5.83577e+12 1.30576e+12
0.207 1.19769e+13 0 3.75701e+12 1.04935e+12 5.86081e+12 1.3097e+12
0.208 1.20252e+13 0 3.77309e+12 1.05264e+12 5.88584e+12 1.31365e+12
0.209 1.20735e+13 0 3.78917e+12 1.05592e+12 5.91085e+12 1.31759e+12
0.21 1.21218e+13 0 3.80523e+12 1.05921e+12 5.93584e+12 1.32153e+12
0.211 1.21701e+13 0 3.82128e+12 1.06249e+12 5.96082e+12 1.32548e+12
0.212 1.22183e+13 0 3.83733e+12 1.06578e+12 5.98579e+12 1.32942e+12
