10000
-0.4 0.4
-0.362316 2.39977e+19 1.11606e+24
-0.362236 2.40721e+19 1.11952e+24
-0.362156 2.41467e+19 1.12299e+24
-0.362076 2.42215e+19 1.12648e+24
-0.361996 2.42966e+19 1.12997e+24
-0.361916 2.43719e+19 1.13347e+24
-0.361836 2.44475e+19 1.13698e+24
-0.361756 2.45232e+19 1.14051e+24
-0.361676 2.45992e+19 1.14404e+24
-0.361596 2.46755e+19 1.14759e+24
-0.361516 2.4752e+19 1.15115e+24
-0.361436 2.48287e+19 1.15471e+24
-0.361356 2.49057e+19 1.15829e+24
-0.361276 2.49829e+19 1.16188e+24
-0.361196 2.50603e+19 1.16548e+24
-0.361116 2.5138e+19 1.1691e+24
-0.361036 2.52159e+19 1.17272e+24
-0.360956 2.52941e+19 1.17636e+24
-0.360876 2.53725e+19 1.18e+24
-0.360796 2.54511e+19 1.18366e+24
-0.360716 2.553e+19 1.18733e+24
-0.360636 2.56091e+19 1.19101e+24
-0.360556 2.56885e+19 1.1947e+24
-0.360476 2.57681e+19 1.1984e+24
-0.360396 2.5848e+19 1.20212e+24
-0.360316 2.59281e+19 1.20584e+24
-0.360236 2.60085e+19 1.20958e+24
-0.360156 2.60891e+19 1.21333e+24
-0.360076 2.617e+19 1.21709e+24
-0.359996 2.62511e+19 1.22086e+24
-0.359916 2.63325e+19 1.22465e+24
-0.359836 2.64141e+19 1.22844e+24
-0.359756 2.6496e+19 1.23225e+24
-0.359676 2.65781e+19 1.23607e+24
-0.359596 2.66605e+19 1.2399e+24
-0.359516 2.67431e+19 1.24375e+24
-0.359436 2.6826e+19 1.2476e+24
-0.359356 2.69092e+19 1.25147e+24
-0.359276 2.69926e+19 1.25535e+24
-0.359196 2.70762e+19 1.25924e+24
-0.359116 2.71602e+19 1.26314e+24
-0.359036 2.72443e+19 1.26706e+24
-0.358956 2.73288e+19 1.27099e+24
-0.358876 2.74135e+19 1.27492e+24
-0.358796 2.74985e+19 1.27888e+24
-0.358716 2.75837e+19 1.28284e+24
-0.358636 2.76692e+19 1.28682e+24
-0.358556 2.7755e+19 1.29081e+24
-0.358476 2.7841e+19 1.29481e+24
-0.358396 2.79273e+19 1.29882e+24
-0.358316 2.80139e+19 1.30285e+24
-0.358236 2.81007e+19 1.30688e+24
-0.358156 2.81878e+19 1.31094e+24
-0.358076 2.82752e+19 1.315e+24
-0.357996 2.83628e+19 1.31907e+24
-0.357916 2.84507e+19 1.32316e+24
-0.357836 2.85389e+19 1.32726e+24
-0.357756 2.86274e+19 1.33138e+24
-0.357676 2.87161e+19 1.33551e+24
-0.357596 2.88051e+19 1.33965e+24
-0.357516 2.88944e+19 1.3438e+24
